id,risk,recommendation,onto_work_shared,individual_activation,entrypoint_words,assessment
openai-plugins/openai-developers/chatgpt-app-submission,moderate,adapt,True,passed,1564,Implementation/helper inspection and truthful submission data are strong requirements. Stopping on unknown or misleading metadata is appropriate. The concern is requiring fresh approval even when the user has already explicitly authorized the metadata repairs. Preserve real uncertainty and consequential-action boundaries while recognizing session authorization. Static semantic review only; both model evaluation cases below are planned and unexecuted.
openai/curated/aspnet-core,low,retain,False,passed,573,"This mainly augments capability: it selects the smallest relevant references, preserves app models and framework pins, and requires live verification for latest-version claims. Stack-selection and versioning references were read in full. The dated default needs normal maintenance, but no incorrect current version fact or observed behavior failure is established. Static semantic review only; both model evaluation cases below are planned and unexecuted."
openai/curated/chatgpt-apps,moderate,retire-duplicate,False,passed,2706,"A direct comparison found entrypoint differences only in name, heading and four invocation examples. Both entrypoints were read in full; the two reviewed references are byte-identical. Duplication alone has not been shown to cause a model failure. Still, separate selectable names add ambiguity and can duplicate about 19 KB of guidance if a host activates both. Archive this source snapshot and expose one canonical active skill. Static semantic review only; both model evaluation cases below are planned and unexecuted."
openai/curated/cli-creator,moderate,adapt,False,passed,1587,Static inspection only; no Astra or Fable model evaluation was executed. The durable-tool scope and flexible language choice are well judged. The full API-oriented command surface and personal companion-skill destination need conditional application in a managed shared/project skill system; they are not universal requirements for every durable CLI.
openai/curated/cloudflare-deploy,moderate,adapt,False,passed,972,Static inspection only; no Astra or Fable model evaluation was executed. The product decision tree is a useful progressive-disclosure index; the many bundled references are not automatically loaded. The main behavioral defect is treating generic network failures as a reason to invoke a particular host’s escalation mechanism.
openai/curated/define-goal,low,retain,False,passed,870,"Static inspection only; no Astra or Fable model evaluation was executed. This is a well-scoped outcome-oriented skill. It explicitly excludes ordinary implementation, allows safe inference, and asks only when the intended outcome or validation materially changes. Its small remaining portability issue is reliance on native goal-state tools."
openai/curated/gh-address-comments,high,adapt,True,passed,205,"Static inspection only; no Astra or Fable model evaluation was executed. The workflow unconditionally asks the user to select comments, even though its own default prompt already requests all actionable comments. Authentication is a real prerequisite; the repeated selection gate and blanket escalation are not. The helper was inspected as retrieval implementation, not executed against a live PR."
openai/curated/gh-fix-ci,high,adapt,True,passed,527,"Static inspection only; no Astra or Fable model evaluation was executed. The log-focused troubleshooting is useful, and limiting a GitHub Actions request to its provider avoids unfocused investigation. The explicit second approval and merely suggested retesting prevent completion of work the user has already requested."
openai/curated/hatch-pet,high,host-only,False,passed,5028,"Static inspection only; no Astra or Fable model evaluation was executed. The fixed atlas dimensions and per-state visual checks are real application contracts, not arbitrary aesthetic restrictions. This specialized workflow should remain available only on a compatible Codex pet host. Its storage-driven delegation rules, smaller-model default, and extra subagent permission gate require adaptation even there."
openai/curated/jupyter-notebook,moderate,adapt,False,passed,521,"Static inspection only; no Astra or Fable model evaluation was executed. The behavioral core is appropriately flexible: preserve existing structure, execute when possible, and disclose unavailable execution. The imported shared bundle’s helper location does not match the assumed personal installation path, so the resource resolution needs a host adapter."
openai/curated/linear,moderate,host-only,False,passed,699,"Static inspection only; no Astra or Fable model evaluation was executed. The task vocabulary and read-before-write approach are useful with a compatible Linear connector. The installation and restart sequence is a standalone Codex host recipe, not a portable prerequisite for an operator with server-managed connectors."
openai/curated/migrate-to-codex,high,host-only,False,passed,1080,"Static inspection only; no Astra or Fable model evaluation was executed. This is an administration/migration tool for an explicitly selected target, not a general shared workflow skill for tenant agents. The references honestly distinguish prompt guidance from enforced permissions. Mandatory TODO tooling, personality injection, and exact report formatting impose behavior beyond necessary migration fidelity."
openai/curated/netlify-deploy,moderate,adapt,False,passed,986,"Static inspection only; no Astra or Fable model evaluation was executed. The deployment mechanics and secret-handling guidance are useful in scope. The new-site production default conflicts with the preview-first tip, and the network escalation instructions assume one execution host."
openai/curated/notion-knowledge-capture,moderate,adapt,False,passed,444,"Static inspection only; no Astra or Fable model evaluation was executed. The knowledge extraction and actual-database-schema checks add value. Mandatory input questions, standalone Codex connector setup, and automatic creation of follow-up tasks need to respect already supplied context and the user’s requested write scope. Bundled evaluation instructions are scenario guidance, not evidence of current-model validation."
openai/curated/notion-meeting-intelligence,moderate,adapt,False,passed,441,"Static inspection only; no Astra or Fable model evaluation was executed. The entrypoint permits template adaptation and optional research, which are useful. Broad agenda triggers and task creation need tighter scope. The bundled evaluation README would reward two documents and a citation quota even for requests that need one simple agenda; those are rubric risks if reused for acceptance, not observed model failures."
openai/curated/notion-research-documentation,moderate,adapt,False,passed,456,Static inspection only; no Astra or Fable model evaluation was executed. The synthesis instructions preserve source provenance and user goals. Asking for confirmation whenever search returns multiple results is counterproductive for a multi-source research skill. The search reference and evaluation examples also impose a three-source threshold without a sufficiency test.
openai/curated/notion-spec-to-implementation,moderate,adapt,False,passed,449,"Static inspection only; no Astra or Fable model evaluation was executed. Plan-depth selection and testable acceptance criteria are useful for project planning. Human-day task sizing, fixed-phase evaluation examples, and progress notifications should not become obligatory for every engineering task that happens to start from a Notion specification."
openai/curated/openai-docs,high,adapt,False,passed,2554,"Static inspection only; no Astra or Fable model evaluation was executed. The freshness checks, capability verification, and outcome-oriented prompting reference are strengths. However, an unconditional API-migration block and mandatory docs-MCP installation can stop authorized work. Older GPT-5.5 reference values are explicitly labeled as fallible fallback guidance; they are not by themselves evidence that current models are unsupported."
openai/curated/pdf,moderate,adapt,True,passed,373,"Static inspection only; no Astra or Fable model evaluation was executed. Visual inspection, legibility, and clipping checks are genuine output-quality requirements. The blanket ASCII-dash prescription can alter faithful content unnecessarily, and the Poppler-or-user-review fallback is narrower than the set of usable renderers. A completion claim should require adequate visual validation; an explicitly requested unverified draft can still be delivered as a draft."
openai/curated/playwright,moderate,adapt,False,passed,522,"Static inspection only; no Astra or Fable model evaluation was executed. Snapshot grounding and explicit browser actions reduce invented selectors and stale references. The required npx check and hardcoded personal-skill wrapper path are avoidable host assumptions; this terminal workflow should be selected when it matches the available tools, not override an already supported browser integration."
openai/curated/playwright-interactive,high,host-only,False,passed,4388,"Static inspection only; no Astra or Fable model evaluation was executed. This is a specialized js_repl browser/Electron workflow, not a portable browser skill. Its real-input and visual-evidence requirements are sound, but requiring disabled sandboxing cannot be inherited into a managed operator. The all-controls and timed exploratory rituals also need proportional scope for small fixes."
openai/curated/render-deploy,high,adapt,False,passed,2443,"The deployment knowledge can extend either model. Several workflow rules nevertheless turn routine inference into mandatory user interactions, privilege MCP even when a CLI fallback exists, and hard-code main-branch publication. Those rules can interrupt an already authorized deployment or conflict with repository change controls. Keep the domain knowledge and branch/context-aware verification; replace the unconditional process."
openai/curated/screenshot,low,host-only,False,passed,983,"A narrow capture utility largely adds capability rather than constraining reasoning. Its preference for integrated capture tools is useful. The remaining concern is portability: desktop capture and escalation depend on the host, and a headless workflow must not invent a screenshot or enter a permission loop. Screen Recording permission is a real platform boundary, not a model capability degradation."
openai/curated/security-best-practices,moderate,adapt,True,passed,1431,"The security constraints are mostly useful domain expertise, especially evidence, uncertainty, auth boundaries and regression awareness. Risks come from a mandatory approval step even when fixes were already requested, always-on language in loaded references, and blanket deployment advice. Entry-point scope is appropriately narrow. Reference review sampled Next.js and React workflow/boundary sections; this is not a comprehensive correctness audit of all ten framework specifications."
openai/curated/security-ownership-map,moderate,domain-only,False,passed,932,"The graph and query helpers add computational reach and save context. They estimate historical activity, not actual access rights, knowledge transfer, or employee availability. Their output labels overstate some proxies: unique historical authors are named bus factor, and a share of tagged activity is described as control. Keep this specialized analysis with explicit statistical definitions and repaired skill-relative commands."
openai/curated/security-threat-model,high,adapt,True,passed,763,Its core security reasoning strongly supports capable models. The mandatory user check-in is repeated in both entrypoint and template and can block final delivery even when all context is supplied or the task is an unattended workflow. Fixed quotas and a very wide table also risk padding small threat-model reports. Preserve the grounding and realistic-risk method; condition questions and output size on actual needs.
openai/curated/sentry,low,host-only,False,passed,548,"Read-only Sentry investigation and a supported CLI are legitimate scope and host requirements. On a compatible host, the skill adds bounded queries, schema discovery and credential hygiene without a strong unnecessary reasoning restriction. Org/project auto-detection has an explicit override when it selects the wrong target. An already-connected alternative tool is an integration option; lack of that fallback is not by itself evidence of model degradation."
openai/curated/speech,moderate,host-only,False,passed,1006,"TTS is a separate generation service; choosing a speech model does not downgrade Astra or Fable as the reasoning model. The main portability costs are an OpenAI SDK/key dependency, fixed local paths, and a blanket stop if the wrapper lacks a feature. Protecting the vendor script from unsolicited mutation is sensible; forbidding any supported adaptation is broader than necessary."
openai/curated/transcribe,low,host-only,False,passed,370,"The task workflow is concise and does not impose unnecessary reasoning constraints. OpenAI credentials and the bundled transcription models are a legitimate execution contract for this particular utility, not a downgrade of the main reasoning model. Its remaining concern is installation portability: examples assume a fixed Codex path. Bind it to a compatible transcription host and resolve the actual imported script path. An alternative native transcription route is an integration option, not something this utility must supply."
openai/curated/vercel-deploy,high,adapt,False,passed,380,"The instruction forbidding deployed-URL verification is a direct capability reduction. The fallback itself fetches the URL and can label any 4xx as ready, so the entrypoint and implementation also conflict. Build receipt, HTTP reachability and correct application behavior must be separated. The no-auth fallback is a specific hosted route whose availability and package scope need verification before use; no deployment was executed in this review."
openai/curated/winui-app,moderate,host-only,False,passed,1572,"The native-control, accessibility and packaging guidance is valuable domain expertise, not arbitrary suppression of design ability: explicit customization and existing design systems are allowed. The hard requirement to launch and leave a window running after any app edit does not account for headless or non-Windows authoring. Setup also privileges the bundled configuration. Keep this on compatible Windows hosts and make remote authoring/verification limits explicit."
openai/curated/yeet,high,adapt,False,passed,1091,"The explicit trigger and PR reuse are useful. Staging all files and responding to workflow authentication errors by pulling master can override contextual Git judgment and incorporate unrelated work. Multiple templates also cause a mandatory stop even when repository conventions could resolve the choice. Preserve the review-writing guidance, but route repository mutations through scoped change ownership and actual error diagnosis."
openai/system/imagegen,low,host-only,False,passed,2340,"The prompting guidance protects user intent, distinguishes raster work from editable native assets, and adds meaningful inspection and persistence checks. The built-in-first mode and explicit opt-in to an API-key fallback can be legitimate because the fallback changes credential and billing requirements. Those choices are not evidence of reduced model intelligence. Remaining concerns are host portability and honoring an already-explicit fallback choice; bind this copy to a compatible image-generation runtime."
openai/system/openai-docs,high,adapt,True,passed,2617,"Current documentation is valuable, but this copy owns broad migration work while restricting actual changes to model strings and prompts. It directs a stop when necessary implementation changes are found, even when the user asked for a complete migration. It also installs/restarts Codex to repair missing docs MCP rather than directly completing a lookup through available official web sources. Bundled model guides are explicitly fallback snapshots, not current evidence for Astra or Fable."
openai/system/plugin-creator,low,host-only,False,passed,753,"This is a Codex scaffold generator, with format-specific manifests and marketplace entries. Such requirements are useful domain constraints. Placeholders are intentional scaffolding: the quick start explicitly tells the agent to replace them, and a follow-up step can occur within the same authorized task. Do not treat the skeleton as a finished implementation or apply its schema to another runtime. No strong unnecessary reasoning constraint was identified in its appropriate scope."
openai/system/skill-creator,moderate,adapt,True,passed,2612,"The core authoring philosophy explicitly assumes the model is already smart and limits added instructions to useful knowledge. It is therefore a strong reference. It is not by itself evidence of the best creator: validation checks package syntax, not comparative task behavior. Its name/description-only frontmatter instruction conflicts with preserving supported metadata in revisions and even with its own validator. Adapt it to Agentic contracts and use the local creator as the operational authoring policy rather than stacking multiple creators."
openai/system/skill-installer,moderate,host-only,False,passed,431,"Installation does not improve or degrade model reasoning by itself. The concern is activation scope and provenance: this tool defaults to a Codex-global location and moving main, while Agentic shared/project skill placement needs explicit destinations and pinned records. Its preinstalled-system and next-turn promises are Codex assumptions. Keep the download utility on supported hosts and wrap it in the existing catalog/provenance workflow; do not regard finding SKILL.md as semantic approval."
agentic/skill-creator,low,retain,False,passed,1070,"The reviewed local creator is explicitly designed to preserve strong-model judgment: it infers routine choices, uses fixed sequences only when order matters, avoids new approval gates and does not invent tools. Its JSON-only output is a real Skill Builder contract, not an arbitrary limit. It is the strongest operational fit among the reviewed creator policies, but static analysis does not establish universal superiority or measured non-degradation on either named model. Prior authoring-route verification is a separate integration result; this source review does not revalidate that route or establish consumer-model quality."
